Id,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Process__c,Economic_Impact__c,Regulatory_Impact__c,Reputational_Impact__c,P_L_Misstatement_Impact__c,Balance_Sheet_Reclassification_Impact__c,BIA_Tier__c,FCP_Tier__c,Front_Office_Aligned_Tier__c,Overall_Functional_Group_Tier__c
a2T1U000000w6RpUAI,,BIA-000012,2019-11-14T15:01:11.000+0000,0051U000003DQo8QAG,2019-11-14T15:01:11.000+0000,0051U000003DQo8QAG,2019-11-14T15:01:11.000+0000,,,,a2O1U000000IzUNUA0,$250MM to <$1B,"Notable regulatory enforcement or contentious action, including probable sanctions against the Firm or its Material Entities.","Little or no damage to the perception of Morgan Stanley by external parties, including our shareholders, clients, regulators and the public.",Greater than or equal to $500MM,>=$30B,Tier 3 - Aligned,Tier 2 - Aligned,Tier 3 - Aligned,Tier 3 - Aligned
a2T1U000001S5gpUAC,,BIA-000018,2020-04-21T15:46:41.000+0000,0051U000003DQo8QAG,2020-04-21T15:46:41.000+0000,0051U000003DQo8QAG,2020-04-21T15:46:41.000+0000,,,,a2O1U000000IzUNUA0,$50MM to <$250MM,"Significant regulatory enforcement / contentious action, including probable sanctions against the Firm or its Material Entities.","Significant damage to the perception of Morgan Stanley by external parties, including our shareholders, clients, regulators and the public.",Less than $15MM,Less than $500MM,Tier 3 - Aligned,Tier 2 - Aligned,Tier 3 - Aligned,Tier 3 - Aligned
a2T1U0000010JB4UAM,,BIA-000007,2019-10-10T18:56:26.000+0000,0051U000003DQo8QAG,2019-10-10T18:56:26.000+0000,0051U000003DQo8QAG,2019-10-10T18:56:26.000+0000,,,,a2O1U000000IzUMUA0,$50MM to <$250MM,Do not anticipate regulatory findings or disciplinary action.,"Little or no damage to the perception of Morgan Stanley by external parties, including our shareholders, clients, regulators and the public.",Less than $15MM,Less than $500MM,Tier 3 - Aligned,Tier 2 - Aligned,Tier 3 - Aligned,Tier 3 - Aligned
a2T1U000001S2IXUA0,,BIA-000014,2019-11-25T22:11:49.000+0000,0051U000005xmb3QAA,2019-11-25T22:11:49.000+0000,0051U000005xmb3QAA,2019-11-25T22:11:49.000+0000,,,,a2O1U000000IzCcUAK,$10MM to <$50MM,"Possible regulatory issues calling for corrective actions, but do not anticipate material fines or regulatory sanctions against the Firm.","Noticeable damage to the perception of Morgan Stanley by external parties, including our shareholders, clients, regulators and the public.",$30MM to <$50MM,$5B to <$30B,Tier 3 - Aligned,Tier 2 - Aligned,Tier 3 - Aligned,Tier 3 - Aligned
a2T1U0000010JUDUA2,,BIA-000009,2019-10-17T16:37:08.000+0000,0051U000003DQo8QAG,2019-10-17T16:37:08.000+0000,0051U000003DQo8QAG,2019-10-17T16:37:08.000+0000,,,,a2O1U000000IzC3UAK,$50MM to <$250MM,"Notable regulatory enforcement or contentious action, including probable sanctions against the Firm or its Material Entities.","Little or no damage to the perception of Morgan Stanley by external parties, including our shareholders, clients, regulators and the public.",$15MM to <$30MM,Less than $500MM,Tier 3 - Aligned,Tier 2 - Aligned,Tier 3 - Aligned,Tier 3 - Aligned
a2T1U0000010JbYUAU,,BIA-000011,2019-10-23T14:30:39.000+0000,0051U000003DQo8QAG,2019-10-23T14:30:39.000+0000,0051U000003DQo8QAG,2019-10-23T14:30:39.000+0000,,,,a2O1U000000IzUNUA0,$50MM to <$250MM,"Significant regulatory enforcement / contentious action, including probable sanctions against the Firm or its Material Entities.","Noticeable damage to the perception of Morgan Stanley by external parties, including our shareholders, clients, regulators and the public.",Less than $15MM,Less than $500MM,Tier 3 - Aligned,Tier 2 - Aligned,Tier 3 - Aligned,Tier 3 - Aligned
a2T1U0000010JAkUAM,,BIA-000006,2019-10-10T14:58:51.000+0000,0051U000003DQo8QAG,2019-10-10T14:58:51.000+0000,0051U000003DQo8QAG,2019-10-10T14:58:51.000+0000,,,,a2O1U000000IzCSUA0,$50MM to <$250MM,Do not anticipate regulatory findings or disciplinary action.,"Little or no damage to the perception of Morgan Stanley by external parties, including our shareholders, clients, regulators and the public.",Less than $15MM,Less than $500MM,Tier 3 - Aligned,Tier 2 - Aligned,Tier 3 - Aligned,Tier 3 - Aligned
a2T1U000001S2b5UAC,,BIA-000015,2019-12-17T14:43:15.000+0000,0051U000003DQo8QAG,2019-12-17T14:43:15.000+0000,0051U000003DQo8QAG,2019-12-17T14:43:15.000+0000,,,,a2O1U000000IzUNUA0,>=$1B,"Significant regulatory enforcement / contentious action, including probable sanctions against the Firm or its Material Entities.","Significant damage to the perception of Morgan Stanley by external parties, including our shareholders, clients, regulators and the public.",$50MM to <$200MM,Less than $500MM,Tier 3 - Aligned,Tier 2 - Aligned,Tier 3 - Aligned,Tier 3 - Aligned
a2T1U000000w6XKUAY,,BIA-000013,2019-11-15T13:24:15.000+0000,0051U000003DQo8QAG,2019-11-15T13:24:15.000+0000,0051U000003DQo8QAG,2019-11-15T13:24:15.000+0000,,,,a2O1U000000IzUNUA0,$250MM to <$1B,"Significant regulatory enforcement / contentious action, including probable sanctions against the Firm or its Material Entities.","Significant damage to the perception of Morgan Stanley by external parties, including our shareholders, clients, regulators and the public.",Less than $15MM,Less than $500MM,Tier 3 - Aligned,Tier 2 - Aligned,Tier 3 - Aligned,Tier 3 - Aligned
a2T1U000001JSKdUAO,,BIA-000019,2020-09-24T17:20:30.000+0000,0051U000003DQo8QAG,2020-09-24T17:20:30.000+0000,0051U000003DQo8QAG,2020-09-24T17:20:30.000+0000,,,,a2O1U000000IzUNUA0,>=$1B,"Significant regulatory enforcement / contentious action, including probable sanctions against the Firm or its Material Entities.","Significant damage to the perception of Morgan Stanley by external parties, including our shareholders, clients, regulators and the public.",Less than $15MM,Less than $500MM,Tier 3 - Aligned,Tier 2 - Aligned,Tier 3 - Aligned,Tier 3 - Aligned
a2T1U000001S5XAUA0,,BIA-000017,2020-04-14T16:45:49.000+0000,0051U000003DQo8QAG,2020-04-14T16:45:49.000+0000,0051U000003DQo8QAG,2020-04-14T16:45:49.000+0000,,,,a2O1U000000IzUNUA0,$250MM to <$1B,"Significant regulatory enforcement / contentious action, including probable sanctions against the Firm or its Material Entities.","Little or no damage to the perception of Morgan Stanley by external parties, including our shareholders, clients, regulators and the public.",Less than $15MM,>=$30B,Tier 3 - Aligned,Tier 2 - Aligned,Tier 3 - Aligned,Tier 3 - Aligned
a2T1U000001S2dnUAC,,BIA-000016,2019-12-19T14:29:43.000+0000,0051U000003DQo8QAG,2019-12-19T14:29:43.000+0000,0051U000003DQo8QAG,2019-12-19T14:29:43.000+0000,,,,a2O1U000000IzUNUA0,$10MM to <$50MM,"Notable regulatory enforcement or contentious action, including probable sanctions against the Firm or its Material Entities.","Little or no damage to the perception of Morgan Stanley by external parties, including our shareholders, clients, regulators and the public.",$200MM to <$500MM,>=$30B,Tier 3 - Aligned,Tier 2 - Aligned,Tier 3 - Aligned,Tier 3 - Aligned
a2T1U0000010IxtUAE,,BIA-000005,2019-10-04T19:08:24.000+0000,0051U000003DQo8QAG,2019-10-04T19:08:24.000+0000,0051U000003DQo8QAG,2019-10-04T19:08:24.000+0000,,,,a2O1U000000IyknUAC,Lessthan250K,Do not anticipate regulatory findings or disciplinary action.,"Little or no damage to the perception of Morgan Stanley by external parties, including our shareholders, clients, regulators and the public.",$50MM to <$200MM,$5B to <$30B,Tier 1 - Aligned,Tier 2 - Aligned,NA,Tier 1 - Aligned
a2T1U0000010IwHUAU,,BIA-000004,2019-10-01T18:59:32.000+0000,0051U000003DQo8QAG,2019-10-01T19:37:18.000+0000,0051U000003DQo8QAG,2019-10-01T19:39:00.000+0000,,,,a2O1U000000IrJuUAK,Lessthan250K,Do not anticipate regulatory findings or disciplinary action.,"Little or no damage to the perception of Morgan Stanley by external parties, including our shareholders, clients, regulators and the public.",Less than $15MM,Less than $500MM,Tier 1 - Aligned,Tier 2 - Aligned,NA,Tier 1 - Aligned
